Afghanistan,1,33700000,1750,57.9,680,0.299
Albania,2,2920000,11000,77.6,1070,1.96
Algeria,3,39900000,13700,77.3,470,3.72
Andorra,4,78000,46600,82.5,1600,5.83
Angola,5,27900000,6230,64,1850,1.29
Antigua and Barbuda,6,99900,20100,77.2,973,5.38
Argentina,7,43400000,19100,76.5,5870,4.75
Armenia,8,2920000,8180,75.4,4020,1.9
Australia,9,23800000,43800,82.6,1410,15.4
Austria,10,8680000,44100,81.4,2070,6.8
Azerbaijan,11,9620000,16700,71.8,11200,3.94
Bahamas,12,387000,21700,73.6,173,6.32
Bahrain,13,1370000,44500,76.8,1450,23.4
Bangladesh,14,161000000,3130,72.4,2920,0.459
Barbados,15,284000,15400,76.6,5340,4.49
Belarus,16,9490000,17200,73.3,597,6.69
Belgium,17,11300000,41700,80.9,379,8.32
Belize,18,359000,8060,71.9,355,1.41
Benin,19,10600000,1990,63.9,561,0.614
Bhutan,20,787000,7740,73.8,1410,1.29
Bolivia,21,10700000,6530,73,1040,1.93
Bosnia and Herzegovina,22,3540000,10900,77.4,1230,6.23
Botswana,23,2210000,15400,64.6,8610,3.24
Brazil,24,206000000,14700,75.2,2670,2.59
Brunei,25,418000,74600,76.9,254,22.1
Bulgaria,26,7180000,17000,75,345,5.87
Burkina Faso,27,18100000,1550,60.3,8210,0.162
Burundi,28,10200000,749,60,212,0.0445
Cambodia,29,15500000,3290,68.3,1860,0.438
Cameroon,30,22800000,2990,59.7,1630,0.315
Canada,31,35900000,43000,81.7,638,15.1
Cape Verde,32,533000,5920,73.4,63.9,0.933
Central African Republic,33,4550000,626,49.7,307,0.0666
Chad,34,14000000,2050,59.2,317,0.0538
Chile,35,17800000,22500,80.1,1030,4.69
China,36,1400000000,13600,76.3,533,7.4
Colombia,37,48200000,13000,78,2270,1.76
Comoros,38,777000,1410,67.3,897,0.203
"Congo Dem. Rep.",39,76200000,750,60.9,2290,0.0634
"Congo Rep.",40,5000000,5540,62.6,4470,0.635
Costa Rica,41,4810000,14900,80.9,3620,1.63
Cote d'Ivoire,42,23100000,3250,59.2,177,0.49
Croatia,43,4240000,20600,77.3,606,3.96
Cuba,44,11500000,20000,78.9,766,3.05
Cyprus,45,1160000,30400,80.5,747,5.26
Czech Republic,46,10600000,30400,78.9,875,9.1
Denmark,47,5690000,45500,80.7,736,5.91
Djibouti,48,927000,3140,66.1,2120,0.792
Dominica,49,73200,10100,71.7,173,1.86
Dominican Republic,50,10500000,13400,75.5,4240,2.07
Ecuador,51,16100000,10800,77.9,484,2.76
Egypt,52,93800000,10100,71.9,628,2.2
El Salvador,53,6310000,7850,75,6970,1
Equatorial Guinea,54,1180000,27200,65.2,4120,4.73
Eritrea,55,4850000,1240,63.4,2530,0.147
Estonia,56,1320000,27300,77.2,86.4,14.8
Ethiopia,57,99900000,1530,65.2,819,0.119
Fiji,58,892000,8760,65.5,3990,1.32
Finland,59,5480000,39000,81.5,276,8.66
France,60,64500000,37800,82.2,2730,4.72
Gabon,61,1930000,16800,66,782,2.77
Gambia,62,1980000,1590,67,621,0.268
Georgia,63,3950000,9030,73.7,65.7,2.25
Germany,64,81700000,43800,80.8,669,8.83
Ghana,65,27600000,3930,65.4,385,0.537
Greece,66,11200000,24100,81,608,5.98
Grenada,67,107000,12700,71.4,2660,2.28
Guatemala,68,16300000,7290,72.5,14700,1.15
Guinea,69,12100000,1180,60,487,0.207
Guinea-Bissau,70,1770000,1420,58.2,786,0.157
Guyana,71,769000,7060,67,2650,2.63
Haiti,72,10700000,1650,63.9,894,0.271
Holy See,73,803,4310,72.5,3420,1.08
Honduras,74,8960000,24800,75.7,2900,4.29
Hungary,75,9780000,42700,82.2,3150,6.04
Iceland,76,330000,5750,68.2,1510,1.73
India,77,1310000000,10400,71.4,4010,1.82
Indonesia,78,258000000,16000,75.8,1160,8.28
Iran,79,79400000,14900,67.6,4270,4.81
Iraq,80,36100000,60900,81.1,448,7.27
Ireland,81,4700000,32000,82,114,8.13
Israel,82,8060000,34200,82.3,10500,5.38
Italy,83,59500000,8110,74.9,561,2.59
Jamaica,84,2870000,37800,83.8,2180,9.47
Japan,85,128000000,8490,76.8,1030,3
Jordan,86,9160000,23500,71.6,9.58,14.2
Kazakhstan,87,17700000,2840,66.3,2800,0.31
Kenya,88,47200000,1870,61.6,2930,0.564
Kiribati,89,112000,69300,79.8,8770,25.2
Kuwait,90,3940000,3240,71.1,1460,1.66
Kyrgyz Republic,91,5870000,5430,66.8,2720,0.297
Lao,92,6660000,23100,74.8,890,3.46
Latvia,93,1990000,13100,80.1,2160,4.3
Lebanon,94,5850000,2780,49.6,614,1.15
Lesotho,95,2170000,785,63.8,1010,0.213
Liberia,96,4500000,13500,74.2,1620,9.19
Libya,97,6230000,27000,74.9,939,1.19
Liechtenstein,98,37400,95300,82,1380,4.33
Lithuania,99,2930000,12800,74.6,1930,17.4
Luxembourg,100,567000,1380,62.3,499,3.61
"Macedonia FYR",101,2080000,1090,59.4,411,0.13
Madagascar,102,24200000,25000,75.4,319,0.0748
Malawi,103,17600000,12000,79.3,657,8.03
Malaysia,104,30700000,1920,61.4,355,3.27
Maldives,105,418000,34400,81.3,4910,0.0832
Mali,106,17500000,3670,64.7,4050,5.51
Malta,107,428000,3600,70,522,1.94
Marshall Islands,108,53000,18900,74.5,127,0.667
Mauritania,109,4180000,16700,76.2,751,3.36
Mauritius,110,1260000,3290,65.3,756,3.87
Mexico,111,126000000,4750,72.1,5860,1.45
"Micronesia Fed. Sts.",112,104000,58800,68.2,6650,1.21
Moldova,113,4070000,11400,76.9,524,7.13
Monaco,114,38300,15300,74.8,,3.52
Mongolia,115,2980000,7290,59,882,1.74
Montenegro,116,628000,1120,69.5,709,0.31
Morocco,117,34800000,5070,64.3,507,0.417
Mozambique,118,28000000,9910,69.7,433,1.58
Myanmar,119,52400000,12300,81.6,2530,4.31
Namibia,120,2430000,2300,81.5,2400,0.284
Nauru,121,11300,46400,78,18600,9.91
Nepal,122,28700000,34600,61.2,1900,7.59
Netherlands,123,16900000,4960,64,4710,0.809
New Zealand,124,4610000,897,70.6,318,0.111
Nicaragua,125,6080000,5670,82.1,270,0.546
Niger,126,19900000,1390,77.4,5560,1.61
Nigeria,127,181000000,63700,67.3,253,9.27
North Korea,128,25200000,40100,71.8,2250,15.4
Norway,129,5200000,4700,78.7,2410,0.896
Oman,130,4200000,14400,60.5,4680,12.3
Pakistan,131,189000000,2650,74.4,3320,0.626
Palau,132,21300,20700,79.5,3630,2.25
Palestine,133,4660000,2750,70.1,130,0.815
Panama,134,3970000,8640,77.7,2730,0.87
Papua New Guinea,135,7920000,11800,80.8,4560,1.99
Paraguay,136,6640000,6880,80.5,,1.06
Peru,137,31400000,25300,75.1,3180,7.46
Philippines,138,102000000,26500,70.8,467,4.3
Poland,139,38300000,120000,67.3,1670,45.4
Portugal,140,10400000,20500,71.7,765,3.5
Qatar,141,2480000,24100,70.3,642,11.9
Romania,142,19900000,1720,76.8,366,0.074
Russia,143,144000000,5560,65.9,1120,1.03
Rwanda,144,11600000,39200,75.7,372,0.594
Samoa,145,194000,2940,73.7,5470,19.5
San Marino,146,33000,50700,57.6,3410,0.609
Sao Tome and Principe,147,196000,2300,83.6,1150,4.24
Saudi Arabia,148,31600000,13300,76.8,361,5.31
Senegal,149,15000000,25500,80.7,441,0.185
Serbia,150,8850000,1320,62.8,1590,10.3
Seychelles,151,93700,80900,57.3,57.3,5.65
Sierra Leone,152,7240000,28300,61.8,410,6.19
Singapore,153,5540000,29100,80.9,567,0.35
Slovak Republic,154,5440000,2050,58.9,14600,0.045
Slovenia,155,2070000,623,82.9,878,8.98
Solomon Islands,156,587000,12400,77.2,1440,11.7
Somalia,157,13900000,34200,76.1,4590,0.13
South Africa,158,55300000,1810,71.6,3000,5.03
South Korea,159,50600000,32200,68,8300,0.892
South Sudan,160,11900000,11100,71.2,3440,4.3
Spain,161,46400000,24100,56.4,7760,2.31
Sri Lanka,162,20700000,10700,82.1,948,1.91
St. Kitts and Nevis,163,54300,10500,83.1,1780,0.407
St. Lucia,164,177000,4290,68.4,159,3.63
St. Vincent and the Grenadines,165,109000,14800,71.6,2100,0.929
Sudan,166,38600000,8050,63.5,530,4.48
Suriname,167,553000,45500,77.6,317,4.29
Swaziland,168,1320000,56500,72.6,589,1.6
Sweden,169,9760000,3500,62.1,724,0.62
Switzerland,170,8320000,2640,70.3,2007,0.221
Syria,171,18700000,2490,73.1,680,4.62
Tajikistan,172,8550000,15200,77.4,1070,0.387
Tanzania,173,53900000,2150,79,470,0.363
Thailand,174,68700000,1350,69.9,1600,1.14
Timor-Leste,175,1240000,5190,61.6,1850,34.2
Togo,176,7420000,31300,71.9,973,2.59
Tonga,177,106000,10800,76.5,5870,4.49
Trinidad and Tobago,178,1360000,23400,80.8,4020,12.5
Tunisia,179,11300000,15000,78.8,1410,1.01
Turkey,180,78300000,3320,77.1,2070,0.135
Turkmenistan,181,5570000,1690,70,11200,5.06
Tuvalu,182,11000,7470,63.6,173,23.3
Uganda,183,40100000,66000,75.5,1450,6.46
Ukraine,184,44700000,38500,74.3,2920,16.5
United Arab Emirates,185,9150000,52800,67.2,5340,1.97
United Kingdom,186,65400000,19800,58.1,597,3.45
United States,187,320000000,5700,58.3,379,0.595
Uruguay,188,3430000,2810,65.1,355,6.03
Uzbekistan,189,31000000,15600,57.9,561,1.8
Vanuatu,190,265000,5670,77.6,1410,0.865
Venezuela,191,31200000,2640,77.3,1040,0.288
Vietnam,192,93600000,3630,82.5,1230,0.78
Yemen,193,26900000,1890,64,8610,4.08
Zambia,194,16100000,2015,77.2,2670,0.299
Zimbabwe,195,15800000,1750,76.5,254,1.96
